No;Ujung;Pangkal;Panjang;B;S;RR;RB
1;Banyusangkah;Dupok;6,2;1,5;1;0,7;3
2;Tanjung Bumi;Mandung;7,2;3,2;0,8;0,4;2,8
3;Mano'an;Bandang Laok;5,3;0,2;0;0;5,1
4;Dupok;Mano'an;10,2;0,8;1;0,8;7,6
5;Cangkareman;Mano'an;5,75;0,6;1,8;0;3,35
6;Embong Cangka;Pedeng;2;0,3;1,2;0;0,5
7;Bungka';Cangkareman;6,65;0;1,1;0,7;4,85
8;Bungka';Konang;3,1;0,45;0,6;1,7;0,35
9;Bungka';Durjan;12;3,9;8,1;0;0
10;Lomaer;Bungka';3,9;0,9;1;1,2;0,8
11;Blega;Konang;6;1,25;0,5;0,5;3,75
12;Embong Anyar;Tajungan;2,6;1;0;0;1,6
13;Konang;Kanagarah;11;6;2,2;2,75;0,05
14;Kombangan;Katol Timur;7,9;4,7;0,6;1,7;0,9
15;Sepulu;Kombangan;11,7;5,5;3,45;1,7;1,05
16;Arosbaya;Campor;6,5;0,8;2,6;0,8;2,3
17;Campor;Kombangan;6,7;0,9;1;4,8;0
18;Katol Barat;Kanagarah;7,6;1;1;0;5,6
19;Bangsereh;Gunelap;4,2;0,6;0,65;0,85;2,1
20;Tengket;Arosbaya Kota;2;0,8;0,5;0;0,7
21;Plakaran;Binoh;7,9;0;2,8;0;5,1
22;Tunjung;Binoh;9,55;1,2;2,6;3,3;2,45
23;Duwak Buter;Pekadan;4;0,95;1;0;2,05
24;Tanah Merah;Kombangan;13,3;1,2;6,8;0,8;4,5
25;Mlajah;Sembilangan;7,3;1,3;4,6;1,4;0
26;Socah;Sembilangan;6,75;1,7;5,05;0;0
27;Banyuajuh;Kebun;2,4;0,3;0;0;2,1
28;Parseh;Petapan Sendang;5;1,9;1,3;0;1,8
29;Bilaporah;Parseh;6,5;2,1;0,7;2,2;1,5
30;Parseh;Labang;5;1,6;0,6;0,2;2,6
31;Burneh;Parseh;5,8;0,8;2,5;2,1;0,4
32;Nyorondung;Ketetang;11,5;1,8;4,5;2,4;2,8
33;Kwanyar;Jenteh;3,1;0,9;1,4;0,1;0,7
34;Paterongan;Suwa'an;8,7;4,3;3,6;0,4;0,4
35;Tanah Merah;Jenteh;6,9;0,2;4,7;0,4;1,6
36;Jenteh;Pandanan;2,4;0;1;0,65;0,75
37;Pandanan;Duwak Buter;2,5;0;0,25;1;1,25
38;Karang Anyar;Pandanan;2,4;2,4;0;0;0
39;Galis;Modung;9,4;7,1;0,2;0,2;1,9
40;Blega;Kedungdung;9,6;0,6;2,8;1,2;5
41;Paka'an Laok;Duwak Buter;6,2;2;1,25;2,45;0,5
42;Cangkareman;Durjan;3,3;0,4;0;0;2,9
43;Mano'an;Mandung;4,5;0,4;1;0;3,1
44;Dupok;Mandung;6,5;0,6;1,4;0,6;3,9
45;Campor;Landak;11,5;5,2;3,5;1,7;1,1
46;Toramok;Katol Timur;5,5;1,1;0,4;0;4
47;Tragah;Labang;7,8;3,75;0,6;0,5;2,95
48;Socah;Pernajuh;4,1;1,3;1,1;1,7;0
49;Sepulu;Kota;2,4;0,6;1,45;0,1;0,25
50;Katol Barat;Nyonneng Laok;6;0,6;0,95;0,25;4,2
51;Kamal;Kwanyar;19;4,2;9,05;3,85;1,9
52;Kwanyar;Modung;10,45;0,6;5,45;0,8;3,6
53;Modung;Kedungdung;12;10,6;0,8;0,4;0,2
54;Gigir;Srabi Barat;8;1,5;3;0,2;3,3
55;Binoh;Bato Gubang;4;0;1,7;0;2,3
56;Karang Anyar;Mangga'an;4,6;2,5;0;0;2,1
57;Galis;Kanagarah;11,5;3,9;3,25;1;3,35
58;Macajah - Tlangoh;Togungguh;6,6;6,15;0,35;0,1;0
59;Pedeng;Sanggra Agung;6,5;3;0,2;0,4;2,9
60;Jaddih;Pandabah;2,5;0,5;0,95;0,9;0,15
61;Sorpa;Landak;4;1,6;1,8;0;0,6
62;Dupok;Katol Timur;3,6;0,6;3;0;0
63;Macajah;Bungkeng;3;0,6;0;0;2,4
64;Jangkar;Landak;5,5;0,9;1,4;1,3;1,9
65;Plakaran;Airmata;1;0,3;0,7;0;0
66;Tanjung Bumi;Bungkeng;3,7;3,55;0,15;0;0
67;Sepulu;Lergunong;12;0,8;0,6;1,6;9
68;Kampak;Lergunong;5;1,9;3,1;0;0
69;Bator;Lergunong;8,1;0;0;6,2;1,9
70;Klampis;Klapayan;9,7;3,7;0,65;1;4,35
71;Tarogan Dajah;Tanggungan;4,5;1,25;2,15;0,7;0,4
72;Labuhan;Bandah Soleh;11,5;4,7;1,55;1,55;3,7
73;Katol Timur;Kanagarah;5,2;1,7;3,5;0;0
74;Bangsempal;Bato Koceng;9,15;0,25;8,9;0;0
75;Bato Koceng;Galis Dajah;6,5;5,05;0,85;0,15;0,45
76;Paka'an Dajah;Bato Koceng;5,75;2;1,6;0;2,15
77;Banyubunih;Tellok / Taman;4;0;3,35;0;0,65
78;Paterongan;Kelbung;7;5,5;1,5;0;0
79;Karang Panasan;Blateran;9,35;1,9;1,8;0;5,65
